Class,Q,A
Diagnosis,How is Lyme disease diagnosed?,"Lyme disease is diagnosed based on symptoms, physical findings (e.g., rash), the possibility of exposure to infected ticks, and laboratory tests."
Prevention,How can type 2 diabetes be prevented?,"Prevention strategies include maintaining a healthy weight, eating a balanced diet, getting regular exercise, and not smoking."
Definition,What is glaucoma?,"Glaucoma is a group of eye conditions that damage the optic nerve, often due to abnormally high pressure in the eye, leading to vision loss."
Cause,What causes migraines?,"The exact cause of migraines is unknown, but they're believed to be related to temporary changes in the chemicals, nerves, and blood vessels in the brain."
Symptom,What are common symptoms of dehydration?,"Common symptoms include thirst, dry mouth, fatigue, light-headedness, dizziness, confusion, and dark-colored urine."
Treatment,What is the standard treatment for a heart attack?,"Treatment includes medications like aspirin and blood thinners, oxygen therapy, pain relievers, and procedures to restore blood flow, such as angioplasty or surgery."
Prognosis,What is the long-term outlook for patients with ALS?,"ALS is a progressive neurodegenerative disease that usually leads to death within 3 to 5 years of diagnosis, often due to respiratory failure."
Diagnosis,How is multiple sclerosis (MS) diagnosed?,"MS is diagnosed through a combination of neurological exams, magnetic resonance imaging (MRI), spinal fluid analysis, and sometimes evoked potentials tests."
Prevention,How can osteoporosis be prevented?,"Prevention includes adequate intake of calcium and vitamin D, regular physical activity (especially weight-bearing and muscle-strengthening exercises), and lifestyle changes like quitting smoking and limiting alcohol."
Definition,What is congestive heart failure (CHF)?,"Congestive heart failure is a chronic condition in which the heart doesn't pump blood as well as it should, leading to a buildup of fluid in the lungs and other tissues."
Cause,What causes anaphylaxis?,"Anaphylaxis is a severe allergic reaction caused by exposure to allergens, such as certain foods, insect stings, medications, or latex."
Symptom,What are the signs of a stroke?,"Signs include sudden numbness or weakness in the face, arm, or leg, especially on one side of the body; confusion; trouble speaking or understanding; vision problems; difficulty walking; dizziness; and loss of balance or coordination."
Treatment,How is tuberculosis (TB) treated?,"TB is treated with a course of antibiotic medications, typically for 6 to 9 months, depending on the infection's resistance patterns and location."
Prognosis,What is the outlook for people with Type 1 diabetes?,"With careful management including insulin therapy, diet, and exercise, individuals with Type 1 diabetes can lead long, healthy lives."
Diagnosis,How is chronic obstructive pulmonary disease (COPD) diagnosed?,"COPD is diagnosed with lung function tests, particularly spirometry, which measures how much air you can inhale and exhale, and how quickly you can exhale."
Prevention,How can skin cancer be prevented?,"Preventing skin cancer involves protecting the skin from excessive sun exposure through the use of sunscreen, wearing protective clothing, and avoiding tanning beds."
Definition,What is acute lymphoblastic leukemia (ALL)?,"Acute lymphoblastic leukemia is a type of cancer of the blood and bone marrow that affects white blood cells and progresses quickly, typically affecting children."
Cause,What causes irritable bowel syndrome (IBS)?,"The exact cause of IBS is unknown, but it is believed to be related to increased sensitivity of the gut, problems digesting food, and an overreaction of the immune system."
Symptom,What are common symptoms of gallstones?,"Symptoms include sudden and rapidly intensifying pain in the upper right portion of the abdomen, back pain between the shoulder blades, and pain in the right shoulder."
Treatment,How is acute myeloid leukemia (AML) treated?,"Treatment for AML typically includes chemotherapy to kill cancer cells, targeted therapy to block the growth of cancer cells, and sometimes stem cell transplant."
Prognosis,What is the prognosis for patients with HIV/AIDS?,"With effective antiretroviral therapy, individuals with HIV/AIDS can manage the condition as a chronic illness and live long, productive lives."
Diagnosis,How is osteoarthritis diagnosed?,"Osteoarthritis is diagnosed based on medical history, physical examination, and imaging tests like X-rays or MRI to assess joint damage."
Prevention,How can the spread of influenza be prevented?,"The spread of influenza can be prevented by getting the flu vaccine annually, practicing good hand hygiene, avoiding close contact with sick individuals, and staying home when ill."
Definition,What is cystic fibrosis?,"Cystic fibrosis is a genetic disorder that affects the lungs and other organs, characterized by thick, sticky mucus that can clog the airways and lead to respiratory and digestive problems."
Cause,What causes insomnia?,"Insomnia can be caused by stress, anxiety, depression, poor sleep habits, caffeine, nicotine, physical illnesses, and certain medications."
Symptom,What are the symptoms of a urinary tract infection (UTI)?,"Symptoms include a strong, persistent urge to urinate, a burning sensation when urinating, passing frequent, small amounts of urine, and cloudy or strong-smelling urine."
Treatment,How is hepatitis C treated?,"Hepatitis C is treated with antiviral medications that can clear the virus from the body, significantly improving liver health and reducing the risk of liver disease."
Prognosis,What is the outlook for individuals with lupus?,"Lupus has a variable prognosis; many individuals experience a normal lifespan with periods of illness (flares) and wellness, although severe cases can lead to life-threatening complications."
Diagnosis,How is appendicitis diagnosed?,"Appendicitis is diagnosed based on symptoms, physical examination, and sometimes imaging tests like an ultrasound or CT scan to assess inflammation of the appendix."
Prevention,How can dental cavities be prevented?,"Preventing dental cavities involves regular brushing and flossing, using fluoride toothpaste, reducing sugary and acidic foods and drinks, and regular dental check-ups."
Definition,What is bipolar disorder?,Bipolar disorder is a mental health condition characterized by extreme mood swings that include emotional highs (mania or hypomania) and lows (depression).
Cause,What causes osteoporosis?,"Osteoporosis is caused by an imbalance between new bone formation and old bone resorption, often related to aging, hormonal changes, and deficiencies in calcium or vitamin D."
Symptom,What are the early signs of multiple sclerosis (MS)?,"Early signs of MS include fatigue, walking difficulties, numbness or weakness in one or more limbs, electric shock sensations with certain neck movements, and tremors."
Treatment,How is a migraine treated?,"Migraine treatment includes over-the-counter or prescription pain relievers, medications to reduce nausea and vomiting, and preventive medications to reduce the frequency, severity, and length of migraines."
Prognosis,What is the prognosis for individuals with glaucoma?,"With early detection and treatment, most individuals with glaucoma can manage their condition and not experience significant vision loss."
Diagnosis,How is depression diagnosed?,"Depression is diagnosed based on a patient's symptoms, duration of symptoms, and the impact on daily life activities, typically requiring a comprehensive psychological evaluation."
Prevention,How can the risk of developing type 2 diabetes be reduced?,"Reducing the risk involves maintaining a healthy weight, eating a balanced diet rich in fruits, vegetables, and whole grains, getting regular physical activity, and monitoring blood sugar levels."
Definition,What is eczema?,"Eczema, or atopic dermatitis, is a condition that makes skin red, inflamed, itchy, and often covered in itchy, scaly patches."
Definition,What is anemia?,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues, making you feel tired and weak."
Cause,What causes seasonal allergies?,"Seasonal allergies, also known as hay fever, are caused by the immune system's overreaction to outdoor allergens such as pollen from trees, grasses, and weeds."
Symptom,What are the common signs of dehydration?,"Common signs include extreme thirst, less frequent urination, dark-colored urine, fatigue, dizziness, and confusion."
Treatment,How is chronic back pain managed?,"Chronic back pain is managed through a combination of physical therapy, exercise, medication, and, in some cases, surgery to correct anatomical problems."
Prognosis,What is the outlook for people with Crohn's disease?,"The outlook for individuals with Crohn's disease varies. While it's a chronic condition with no cure, many can manage symptoms and lead active, productive lives with proper treatment."
Diagnosis,How is skin cancer diagnosed?,"Skin cancer is diagnosed through a skin examination and a biopsy, where a sample of the suspicious skin is removed and examined under a microscope for cancer cells."
Prevention,How can high blood pressure be prevented?,"High blood pressure can be prevented by maintaining a healthy weight, eating a balanced diet low in salt and high in fruits and vegetables, exercising regularly, and avoiding tobacco use."
Definition,What is conjunctivitis?,"Conjunctivitis, commonly known as pink eye, is an inflammation or infection of the outer membrane of the eyeball and the inner eyelid."
Cause,What causes peptic ulcers?,"Peptic ulcers are mainly caused by infection with Helicobacter pylori bacteria and long-term use of aspirin and certain other painkillers, such as ibuprofen and naproxen sodium."
Symptom,What are the symptoms of a heart attack?,"Symptoms include chest pain or discomfort, nausea, light-headedness, or discomfort in other areas of the upper body, including one or both arms, the back, neck, jaw, or stomach."
Treatment,How is asthma managed?,"Asthma is managed with inhaled corticosteroids, long-acting beta agonists (LABAs), and rescue inhalers for quick relief during an asthma attack, along with avoiding known triggers."
Prognosis,What is the prognosis for individuals after a stroke?,"The prognosis varies; many individuals experience significant recovery within the first few months after a stroke, but others may have long-term impairments. Rehabilitation can improve function over time."
Diagnosis,How is osteoporosis diagnosed?,"Osteoporosis is diagnosed using bone density scans, typically DEXA scans, which measure bone mineral density and help assess the risk of fractures."
Prevention,How can liver disease be prevented?,"Liver disease can be prevented by drinking alcohol in moderation or not at all, maintaining a healthy weight, managing cholesterol, and avoiding exposure to toxins."
Definition,What is gastroesophageal reflux disease (GERD)?,"GERD is a chronic digestive disease that occurs when stomach acid or, occasionally, stomach content, flows back into your esophagus, irritating its lining."
Definition,What is ADHD?,"ADHD, or Attention-Deficit/Hyperactivity Disorder, is a neurodevelopmental disorder characterized by excessive restlessness, inattention, and impulsivity."
Cause,What causes migraines?,"Migraines are thought to be caused by genetic and environmental factors, leading to changes in brain chemicals and nerve pathways that trigger pain signals."
Symptom,What are the signs of thyroid dysfunction?,"Signs include weight gain or loss, changes in heart rate, energy levels fluctuation, mood changes, and altered skin dryness or thickness."
Treatment,How is leukemia treated?,"Leukemia treatment options include chemotherapy, radiation therapy, targeted therapy, biological therapy, stem cell transplant, and immunotherapy."
Prognosis,What is the outlook for someone with pancreatic cancer?,"The prognosis for pancreatic cancer is generally poor, with survival rates significantly depending on the stage at diagnosis and response to treatment."
Diagnosis,How is autism diagnosed?,"Autism is diagnosed based on behavior and development assessments, with no single medical test for diagnosis. It often involves a team of specialists."
Prevention,How can osteoarthritis be prevented?,"Prevention strategies include maintaining a healthy weight, staying active, avoiding injury, and practicing exercises that don't overburden the joints."
Definition,What is Sepsis?,Sepsis is a life-threatening condition that arises when the body's response to an infection injures its own tissues and organs.
Cause,What causes kidney stones?,"Kidney stones are caused by a variety of factors including dehydration, certain diets, obesity, certain supplements and medications, and certain medical conditions."
Symptom,What are the classic symptoms of a pulmonary embolism?,"Classic symptoms include sudden shortness of breath, chest pain that may become worse when breathing in, and coughing up blood."
Treatment,How is bipolar disorder managed?,"Bipolar disorder is managed with a combination of medications (mood stabilizers, antipsychotics, antidepressants) and psychotherapy."
Prognosis,What is the long-term outcome for someone with heart failure?,"The long-term outcome varies; many live full, productive lives with treatment, but the condition typically requires lifelong management and can be life-threatening."
Diagnosis,How is celiac disease diagnosed?,"Celiac disease is diagnosed through blood tests for specific antibodies, and confirmation is usually done with an intestinal biopsy."
Prevention,How can you reduce the risk of developing Alzheimer's disease?,"Reducing risk involves maintaining heart health, staying mentally and socially active, and possibly dietary adjustments, though no method is guaranteed to prevent it."
Definition,What is psoriasis?,"Psoriasis is a chronic autoimmune condition that causes rapid buildup of skin cells, leading to scaling on the skin’s surface."
Definition,What is endometriosis?,Endometriosis is a painful disorder in which tissue similar to the tissue that normally lines the inside of your uterus grows outside your uterus.
Cause,What causes sleep apnea?,"Sleep apnea is often caused by obstruction of the airway during sleep, excess weight, and decreased muscle tone, among other factors."
Symptom,What are the symptoms of Lyme disease?,"Symptoms include a bull's-eye shaped rash, fever, chills, headache, fatigue, muscle and joint aches, and swollen lymph nodes."
Treatment,How is a broken bone treated?,"Treatment for a broken bone includes immobilization with a cast or splint, and sometimes surgery to put in plates, pins, or screws to keep the bone in place during healing."
Prognosis,What is the outlook for individuals with schizophrenia?,"With treatment, individuals can lead productive lives but may struggle with symptoms throughout life; early diagnosis and treatment improve the long-term outlook."
Diagnosis,How is heart disease diagnosed?,"Heart disease can be diagnosed through various tests including EKG, stress tests, echocardiogram, and cardiac catheterization."
Prevention,How can lung cancer be prevented?,"Lung cancer prevention includes avoiding smoking, exposure to secondhand smoke, and carcinogens like asbestos, as well as testing homes for radon."
Definition,What is meningitis?,"Meningitis is an inflammation of the protective membranes covering the brain and spinal cord, known as the meninges."
Cause,What causes vitamin D deficiency?,"Causes include lack of sunlight exposure, inadequate dietary intake, malabsorption disorders, and certain medical conditions affecting the kidneys or liver."
Symptom,What are the early warning signs of diabetes?,"Early warning signs include frequent urination, increased thirst and hunger, weight loss, fatigue, blurred vision, and slow healing of wounds."
Treatment,How is depression managed?,"Depression is managed with medications, psychotherapy, lifestyle changes, and sometimes treatments like electroconvulsive therapy, depending on its severity."
Prognosis,What is the prognosis for individuals with cystic fibrosis?,"Advances in treatment have significantly improved life expectancy and quality of life for individuals with cystic fibrosis, though it remains a serious and life-limiting condition."
Diagnosis,How is a stroke diagnosed?,"A stroke is diagnosed using a physical examination, imaging tests like CT scans or MRIs, and other tests to evaluate blood flow to the brain."
Prevention,How can the risk of developing osteoarthritis be minimized?,"Minimizing risk involves maintaining a healthy weight, staying active, avoiding joint injuries, and practicing joint-friendly physical activities."
Definition,What is hypothyroidism?,Hypothyroidism is a condition in which your thyroid gland doesn't produce enough of certain crucial hormones.
Definition,What is tinnitus?,"Tinnitus is the perception of noise or ringing in the ears, a common problem affecting about 1 in 5 people."
Cause,What causes acid reflux?,"Acid reflux is caused by a malfunction of the lower esophageal sphincter, allowing stomach acid to flow back into the esophagus."
Symptom,What are the signs of dehydration in adults?,"Signs include thirst, reduced urination, dark yellow urine, dry skin, fatigue, dizziness, and confusion."
Treatment,How is chronic sinusitis treated?,"Treatment includes nasal corticosteroids, saline nasal irrigation, oral or injected corticosteroids, and sometimes surgery to remove blockages or enlarge the sinus opening."
Prognosis,What is the outlook for individuals with mild cognitive impairment (MCI)?,"Individuals with MCI may have an increased risk of developing Alzheimer's disease or other dementias, but some remain stable or even improve over time."
Diagnosis,How is melanoma diagnosed?,Melanoma is diagnosed through skin examination and a biopsy of the suspicious area to examine the tissue for cancer cells.
Prevention,How can food poisoning be prevented?,"Food poisoning can be prevented by practicing good hygiene, properly storing and handling food, cooking meat thoroughly, and avoiding cross-contamination."
Definition,What is pernicious anemia?,Pernicious anemia is a type of vitamin B12 deficiency anemia caused by the body's inability to absorb vitamin B12 due to the lack of intrinsic factor.
Cause,What causes carpal tunnel syndrome?,"Carpal tunnel syndrome is caused by pressure on the median nerve in the wrist, which can arise from swelling, repetitive motions, or anatomical differences."
Symptom,What are common symptoms of polycystic ovary syndrome (PCOS)?,"Common symptoms include irregular menstrual periods, excess hair growth, acne, and obesity."
Treatment,How is anaphylaxis treated?,"Anaphylaxis is treated with an injection of epinephrine (adrenaline), followed by emergency medical attention to maintain blood pressure and support breathing."
Prognosis,What is the prognosis for someone with rheumatoid arthritis (RA)?,"With proper treatment, many individuals with RA can lead active lives, although it may lead to joint damage and physical disability over time."
Diagnosis,How is chronic fatigue syndrome (CFS) diagnosed?,"CFS is diagnosed based on a detailed patient history, ruling out other potential causes of fatigue, and matching symptoms to specific criteria since there's no definitive test."
Prevention,How can stroke risk be reduced?,"Stroke risk can be reduced by controlling high blood pressure, quitting smoking, managing diabetes, maintaining a healthy weight, and exercising regularly."
Definition,What is a peptic ulcer?,"A peptic ulcer is a sore that forms on the lining of the stomach, lower esophagus, or small intestine, typically resulting from inflammation caused by H. pylori bacteria or from erosion by stomach acids."
Cause,What causes vertigo?,"Vertigo is often caused by inner ear problems, such as BPPV (benign paroxysmal positional vertigo), Meniere's disease, or vestibular neuritis."
Symptom,What are the symptoms of iron deficiency anemia?,"Symptoms include fatigue, weakness, pale skin, shortness of breath, dizziness, strange cravings for non-nutritive substances, cold hands and feet, and headache."
Treatment,How is a urinary tract infection (UTI) treated?,"UTIs are treated with antibiotics to kill the bacteria causing the infection, along with plenty of fluids to help flush out the bacteria."
Prognosis,What is the outlook for someone with ulcerative colitis?,"The outlook varies; some experience long periods of remission, while others may require surgery. Medications can often manage symptoms effectively."
Diagnosis,How is attention deficit hyperactivity disorder (ADHD) diagnosed?,"ADHD is diagnosed based on reported signs, symptoms, behavior, and a psychological evaluation. There's no single test for ADHD, making detailed histories crucial for diagnosis."
Definition,What is fibromyalgia?,"Fibromyalgia is a chronic disorder characterized by widespread musculoskeletal pain, fatigue, and tenderness in localized areas."
Cause,What causes rosacea?,"The exact cause of rosacea is unknown, but it may be due to a combination of hereditary and environmental factors, with triggers like hot drinks, spicy foods, temperature extremes, and stress exacerbating the condition."
Symptom,What are the signs of a concussion?,"Signs include headache, temporary loss of consciousness, confusion, amnesia surrounding the event, dizziness, ringing in the ears, nausea, and slurred speech."
Treatment,How is thyroid cancer treated?,"Treatment options include surgery to remove the thyroid gland, radioactive iodine treatment, hormone therapy to suppress TSH, external radiation therapy, and chemotherapy."
Prognosis,What is the outlook for people diagnosed with MS (Multiple Sclerosis)?,"MS varies greatly from person to person but can be managed with medication and lifestyle adjustments; while some may have mild symptoms, others may experience significant challenges in daily functioning."
Diagnosis,How is hepatitis B diagnosed?,"Hepatitis B is diagnosed with blood tests that detect the presence of HBV antigens and antibodies, indicating a current or past infection."
Prevention,How can varicose veins be prevented?,"Prevention includes exercising, maintaining a healthy weight, elevating your legs, avoiding long periods of standing or sitting, and wearing compression stockings."
Definition,What is a cataract?,"A cataract is a clouding of the eye's natural lens, which lies behind the iris and the pupil."
Cause,What causes gout?,"Gout is caused by the accumulation of urate crystals in the joints, a byproduct of purine metabolism that results in inflammation and intense pain, often in the big toe."
Symptom,What are symptoms of end-stage renal disease (ESRD)?,"Symptoms include nausea, vomiting, loss of appetite, fatigue and weakness, sleep problems, changes in urination, decreased mental sharpness, and swelling of feet and ankles."
Treatment,How is atrial fibrillation managed?,"Management includes rhythm control through medications, cardioversion, ablation therapy, and rate control to manage heart rate, alongside anticoagulation therapy to prevent stroke."
Prognosis,What is the prognosis for individuals with liver cirrhosis?,"The prognosis can vary widely depending on the cause and stage of cirrhosis, with early detection and management potentially halting progression, but advanced cirrhosis may lead to liver failure."
Diagnosis,How is osteoarthritis identified?,"Osteoarthritis is identified through clinical examination, patient history, and imaging tests like X-rays or MRI to detect joint damage and confirm cartilage loss."
Prevention,How can exposure to air pollution be reduced?,"Exposure can be reduced by staying indoors on high pollution days, using air purifiers, keeping indoor air clean by avoiding smoking and reducing use of candles, and wearing masks in heavily polluted environments."
Definition,What is COPD (Chronic Obstructive Pulmonary Disease)?,"COPD is a chronic inflammatory lung disease that causes obstructed airflow from the lungs, characterized by difficulty breathing, cough, mucus production, and wheezing."
Cause,What causes eczema flare-ups?,"Flare-ups can be triggered by dry skin, irritants, stress, allergies, infections, and changes in temperature or humidity."
Symptom,What are the common indicators of dehydration in children?,"Indicators include dry mouth and tongue, no tears when crying, no wet diapers for 3 hours, sunken eyes or cheeks, and sunken soft spot on the top of the skull."
Treatment,How is obsessive-compulsive disorder (OCD) treated?,OCD is treated with a combination of psychotherapy (such as cognitive-behavioral therapy) and medications (such as SSRIs) to manage symptoms.
Prognosis,What is the long-term outlook for patients with asthma?,"With proper treatment and management strategies, most people with asthma can lead normal, active lives, although some may experience chronic symptoms that require ongoing care."
Diagnosis,How is a migraine headache diagnosed?,"Migraine is diagnosed based on clinical history, reported symptoms, a physical and neurological examination, and ruling out other causes; there's no specific test for it."
Definition,What is gastritis?,"Gastritis is the inflammation, irritation, or erosion of the lining of the stomach."
Cause,What causes insomnia?,"Causes of insomnia include stress, anxiety, depression, poor sleep habits, caffeine, certain medications, and environmental factors such as noise or light."
Symptom,What are the signs of vitamin B12 deficiency?,"Signs include fatigue, weakness, constipation, loss of appetite, weight loss, poor memory, and numbness and tingling in the hands and feet."
Treatment,How is chronic kidney disease managed?,"Management includes controlling underlying conditions like diabetes and hypertension, diet changes, medication to treat symptoms, and in advanced cases, dialysis or kidney transplant."
Prognosis,What is the outlook for individuals with type 1 diabetes?,"With proper insulin therapy and lifestyle management, individuals with type 1 diabetes can live long, healthy lives."
Diagnosis,How is a peptic ulcer diagnosed?,"Peptic ulcers are diagnosed using endoscopy to visually inspect the stomach lining and small intestine, and tests for Helicobacter pylori infection."
Prevention,How can repetitive stress injuries be prevented?,"Prevention includes taking regular breaks, maintaining proper posture, using ergonomic equipment, and performing stretching exercises."
Definition,What is pancreatitis?,"Pancreatitis is inflammation of the pancreas, causing digestive enzymes to become active inside the pancreas and damage its tissues."
Cause,What causes appendicitis?,"Appendicitis is usually caused by a blockage of the lining of the appendix, leading to infection that can cause the appendix to swell."
Symptom,What are the symptoms of congestive heart failure?,"Symptoms include shortness of breath, fatigue, swollen legs, rapid heartbeat, and persistent cough or wheezing."
Treatment,How are burn injuries treated?,"Treatment depends on the burn's severity and includes pain management, cleaning the wound, applying antibiotic ointments, and in severe cases, surgery or skin grafting."
Prognosis,What is the prognosis for someone with a spinal cord injury?,"The prognosis varies greatly depending on the injury's severity and location, with some individuals regaining significant function and others experiencing permanent disability."
Diagnosis,How is lung cancer diagnosed?,"Lung cancer is diagnosed through imaging tests like chest X-rays and CT scans, followed by biopsy procedures to confirm the presence of cancer cells."
Prevention,How can osteoporosis be prevented?,"Prevention includes adequate intake of calcium and vitamin D, regular weight-bearing exercise, and lifestyle changes such as avoiding tobacco and limiting alcohol consumption."
Definition,What is a stroke?,"A stroke occurs when blood flow to a part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients, leading to brain cells dying."
Cause,What causes urinary tract infections (UTIs)?,UTIs are typically caused by bacteria entering the urinary tract through the urethra and beginning to multiply in the bladder.
Symptom,What are the early signs of pregnancy?,"Early signs include missed period, tender and swollen breasts, nausea with or without vomiting, increased urination, and fatigue."
Treatment,How is rheumatoid arthritis treated?,"Treatment includes medications to reduce inflammation and slow disease progression, physical therapy, and sometimes surgery to repair damaged joints."
Prognosis,What is the outlook for individuals with hepatitis C?,"The outlook has improved significantly with antiviral medications that can cure the infection in most cases, reducing the risk of liver damage and cirrhosis."
Diagnosis,How is depression clinically diagnosed?,Depression is diagnosed based on a psychiatric evaluation that assesses symptoms according to the criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5).
Prevention,How can the risk of high blood pressure be reduced?,"Risk reduction includes maintaining a healthy weight, eating a balanced diet low in salt, exercising regularly, limiting alcohol, and managing stress."
Definition,What is hypoglycemia?,"Hypoglycemia is a condition characterized by abnormally low blood sugar (glucose) levels, often resulting in symptoms such as shakiness, sweating, and confusion."
Cause,What causes dizziness?,"Dizziness can be caused by many factors, including inner ear disturbances, motion sickness, medication effects, or an underlying health condition such as low blood pressure."
Symptom,What are common symptoms of food poisoning?,"Symptoms include nausea, vomiting, watery or bloody diarrhea, abdominal pain and cramps, and fever."
Treatment,How is a migraine managed?,"Migraine management includes using medications to treat symptoms and prevent future attacks, avoiding known triggers, and lifestyle adjustments such as regular sleep and stress reduction."
Definition,What is Bell's palsy?,Bell's palsy is a condition that causes sudden weakness in the muscles on one half of the face.
Cause,What causes chickenpox?,Chickenpox is caused by the varicella-zoster virus and spreads easily from person to person.
Symptom,What are signs of liver disease?,"Signs include jaundice, dark urine, pale stool, swelling in the legs and abdomen, itching, and chronic fatigue."
Treatment,How is a bee sting treated?,"Treatment involves removing the stinger, washing the area with soap and water, applying ice to reduce swelling, and taking antihistamines for itching and swelling."
Prognosis,What is the outlook for someone with chronic lymphocytic leukemia (CLL)?,"With appropriate treatment, many people with CLL can live for years after diagnosis, although CLL is typically considered incurable."
Diagnosis,How is bipolar disorder diagnosed?,"Bipolar disorder is diagnosed through patient history, symptom assessment, and sometimes a physical examination to rule out other causes, following the criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5)."
Prevention,How can you prevent dental plaque buildup?,"Prevent plaque buildup by brushing teeth twice a day, flossing daily, using an antimicrobial mouthwash, and visiting the dentist regularly for cleanings."
Definition,What is dyslexia?,Dyslexia is a learning disorder characterized by difficulty reading due to problems identifying speech sounds and learning how they relate to letters and words.
Cause,What causes eczema?,Eczema is thought to be linked to an overactive response by the body's immune system to an irritant and is commonly found in families with a history of allergies or asthma.
Symptom,What are the typical symptoms of a cold?,"Typical symptoms include runny or stuffy nose, sore throat, cough, congestion, slight body aches, sneezing, and low fever."
Treatment,How is high cholesterol treated?,"Treatment for high cholesterol includes lifestyle changes, such as diet and exercise, and medications like statins to lower cholesterol levels."
Prognosis,What is the long-term outlook for someone with kidney stones?,"Most people can pass kidney stones with adequate hydration and pain medication; however, those who develop recurrent stones may require diet changes or medications to reduce future risk."
Diagnosis,How is menopause diagnosed?,"Menopause is diagnosed based on symptoms, including the absence of menstruation for 12 consecutive months, and may be confirmed by measuring hormone levels."
